trade_date,ticker,cumulative_return
2022-01-04,AAPL,-0.012692
2022-01-05,AAPL,-0.038954
2022-01-06,AAPL,-0.054997
2022-01-07,AAPL,-0.054063
2022-01-10,AAPL,-0.053953
2022-01-11,AAPL,-0.038074
2022-01-12,AAPL,-0.035601
2022-01-13,AAPL,-0.053953
2022-01-14,AAPL,-0.049118
2022-01-18,AAPL,-0.067083
2022-01-19,AAPL,-0.086698
2022-01-20,AAPL,-0.096148
2022-01-21,AAPL,-0.107686
2022-01-24,AAPL,-0.112026
2022-01-25,AAPL,-0.122135
2022-01-26,AAPL,-0.12263
2022-01-27,AAPL,-0.125212
2022-01-28,AAPL,-0.064172
2022-01-31,AAPL,-0.039722
2022-02-01,AAPL,-0.040656
2022-02-02,AAPL,-0.033898
2022-02-03,AAPL,-0.050051
2022-02-04,AAPL,-0.051646
2022-02-07,AAPL,-0.055663
2022-02-08,AAPL,-0.038223
2022-02-09,AAPL,-0.030246
2022-02-10,AAPL,-0.053132
2022-02-11,AAPL,-0.072275
2022-02-14,AAPL,-0.070955
2022-02-15,AAPL,-0.049445
2022-02-16,AAPL,-0.050765
2022-02-17,AAPL,-0.070955
2022-02-18,AAPL,-0.079646
2022-02-22,AAPL,-0.09604
2022-02-23,AAPL,-0.11942
2022-02-24,AAPL,-0.104732
2022-02-25,AAPL,-0.093124
2022-02-28,AAPL,-0.091639
2022-03-01,AAPL,-0.1022
2022-03-02,AAPL,-0.083716
2022-03-03,AAPL,-0.085531
2022-03-04,AAPL,-0.102366
2022-03-07,AAPL,-0.123655
2022-03-08,AAPL,-0.133888
2022-03-09,AAPL,-0.103576
2022-03-10,AAPL,-0.127946
2022-03-11,AAPL,-0.148796
2022-03-14,AAPL,-0.171406
2022-03-15,AAPL,-0.146815
2022-03-16,AAPL,-0.12206
2022-03-17,AAPL,-0.116393
2022-03-18,AAPL,-0.097909
2022-03-21,AAPL,-0.090208
2022-03-22,AAPL,-0.071283
2022-03-23,AAPL,-0.063636
2022-03-24,AAPL,-0.042402
2022-03-25,AAPL,-0.038826
2022-03-28,AAPL,-0.033984
2022-03-29,AAPL,-0.0155
2022-03-30,AAPL,-0.022047
2022-03-31,AAPL,-0.039431
2022-04-01,AAPL,-0.041081
2022-04-04,AAPL,-0.018361
2022-04-05,AAPL,-0.036956
2022-04-06,AAPL,-0.054725
2022-04-07,AAPL,-0.053018
2022-04-08,AAPL,-0.064296
2022-04-11,AAPL,-0.088171
2022-04-12,AAPL,-0.077664
2022-04-13,AAPL,-0.062591
2022-04-14,AAPL,-0.090702
2022-04-18,AAPL,-0.091912
2022-04-19,AAPL,-0.079094
2022-04-20,AAPL,-0.080029
2022-04-21,AAPL,-0.084485
2022-04-22,AAPL,-0.109956
2022-04-25,AAPL,-0.10396
2022-04-26,AAPL,-0.137407
2022-04-27,AAPL,-0.138673
2022-04-28,AAPL,-0.099779
2022-04-29,AAPL,-0.132732
2022-05-02,AAPL,-0.131026
2022-05-03,AAPL,-0.122664
2022-05-04,AAPL,-0.086686
2022-05-05,AAPL,-0.137572
2022-05-06,AAPL,-0.133496
2022-05-09,AAPL,-0.162254
2022-05-10,AAPL,-0.148756
2022-05-11,AAPL,-0.192886
2022-05-12,AAPL,-0.214592
2022-05-13,AAPL,-0.189524
2022-05-16,AAPL,-0.198174
2022-05-17,AAPL,-0.17779
2022-05-18,AAPL,-0.224178
2022-05-19,AAPL,-0.243296
2022-05-20,AAPL,-0.241974
2022-05-23,AAPL,-0.211562
2022-05-24,AAPL,-0.226712
2022-05-25,AAPL,-0.225831
2022-05-26,AAPL,-0.20787
2022-05-27,AAPL,-0.175585
2022-05-31,AAPL,-0.179993
2022-06-01,AAPL,-0.180709
2022-06-02,AAPL,-0.166935
2022-06-03,AAPL,-0.199054
2022-06-06,AAPL,-0.194868
2022-06-07,AAPL,-0.180709
2022-06-08,AAPL,-0.18484
2022-06-09,AAPL,-0.21415
2022-06-10,AAPL,-0.244507
2022-06-13,AAPL,-0.27343
2022-06-14,AAPL,-0.268582
2022-06-15,AAPL,-0.253873
