trade_date,ticker,close_price,peak_price,drawdown
2022-01-03,AAPL,178.1037,178.1037,0.0
2022-01-04,AAPL,175.8432,178.1037,-0.012692
2022-01-05,AAPL,171.1658,178.1037,-0.038954
2022-01-06,AAPL,168.3085,178.1037,-0.054997
2022-01-07,AAPL,168.4749,178.1037,-0.054063
2022-01-10,AAPL,168.4944,178.1037,-0.053953
2022-01-11,AAPL,171.3224,178.1037,-0.038075
2022-01-12,AAPL,171.7628,178.1037,-0.035602
2022-01-13,AAPL,168.4944,178.1037,-0.053953
2022-01-14,AAPL,169.3555,178.1037,-0.049119
2022-01-18,AAPL,166.1557,178.1037,-0.067085
2022-01-19,AAPL,162.6623,178.1037,-0.086699
2022-01-20,AAPL,160.9792,178.1037,-0.096149
2022-01-21,AAPL,158.9243,178.1037,-0.107687
2022-01-24,AAPL,158.1513,178.1037,-0.112027
2022-01-25,AAPL,156.3508,178.1037,-0.122136
2022-01-26,AAPL,156.2627,178.1037,-0.122631
2022-01-27,AAPL,155.8028,178.1037,-0.125213
2022-01-28,AAPL,166.6743,178.1037,-0.064173
2022-01-31,AAPL,171.0288,178.1037,-0.039723
2022-02-01,AAPL,170.8625,178.1037,-0.040657
2022-02-02,AAPL,172.0661,178.1037,-0.033899
2022-02-03,AAPL,169.1891,178.1037,-0.050053
2022-02-04,AAPL,168.9051,178.1037,-0.051647
2022-02-07,AAPL,168.1898,178.1037,-0.055664
2022-02-08,AAPL,171.2957,178.1037,-0.038225
2022-02-09,AAPL,172.7164,178.1037,-0.030248
2022-02-10,AAPL,168.6405,178.1037,-0.053133
2022-02-11,AAPL,165.2309,178.1037,-0.072277
2022-02-14,AAPL,165.466,178.1037,-0.070957
2022-02-15,AAPL,169.297,178.1037,-0.049447
2022-02-16,AAPL,169.0618,178.1037,-0.050768
2022-02-17,AAPL,165.466,178.1037,-0.070957
2022-02-18,AAPL,163.918,178.1037,-0.079649
2022-02-22,AAPL,160.9982,178.1037,-0.096042
2022-02-23,AAPL,156.8341,178.1037,-0.119423
2022-02-24,AAPL,159.4501,178.1037,-0.104734
2022-02-25,AAPL,161.5175,178.1037,-0.093127
2022-02-28,AAPL,161.782,178.1037,-0.091642
2022-03-01,AAPL,159.9009,178.1037,-0.102203
2022-03-02,AAPL,163.1929,178.1037,-0.08372
2022-03-03,AAPL,162.8696,178.1037,-0.085535
2022-03-04,AAPL,159.8714,178.1037,-0.102369
2022-03-07,AAPL,156.0797,178.1037,-0.123658
2022-03-08,AAPL,154.2572,178.1037,-0.133891
2022-03-09,AAPL,159.6559,178.1037,-0.103579
2022-03-10,AAPL,155.3155,178.1037,-0.127949
2022-03-11,AAPL,151.602,178.1037,-0.148799
2022-03-14,AAPL,147.5751,178.1037,-0.171409
2022-03-15,AAPL,151.9548,178.1037,-0.146818
2022-03-16,AAPL,156.3638,178.1037,-0.122063
2022-03-17,AAPL,157.373,178.1037,-0.116397
2022-03-18,AAPL,160.6651,178.1037,-0.097913
2022-03-21,AAPL,162.0367,178.1037,-0.090211
2022-03-22,AAPL,165.4072,178.1037,-0.071287
2022-03-23,AAPL,166.7691,178.1037,-0.06364
2022-03-24,AAPL,170.5511,178.1037,-0.042406
2022-03-25,AAPL,171.188,178.1037,-0.03883
2022-03-28,AAPL,172.0502,178.1037,-0.033989
2022-03-29,AAPL,175.3423,178.1037,-0.015504
2022-03-30,AAPL,174.1763,178.1037,-0.022051
2022-03-31,AAPL,171.0802,178.1037,-0.039435
2022-04-01,AAPL,170.7863,178.1037,-0.041085
2022-04-04,AAPL,174.8328,178.1037,-0.018365
2022-04-05,AAPL,171.5211,178.1037,-0.036959
2022-04-06,AAPL,168.3563,178.1037,-0.054729
2022-04-07,AAPL,168.6601,178.1037,-0.053023
2022-04-08,AAPL,166.6516,178.1037,-0.0643
2022-04-11,AAPL,162.3993,178.1037,-0.088176
2022-04-12,AAPL,164.2707,178.1037,-0.077668
2022-04-13,AAPL,166.9553,178.1037,-0.062595
2022-04-14,AAPL,161.9486,178.1037,-0.090706
2022-04-18,AAPL,161.733,178.1037,-0.091917
2022-04-19,AAPL,164.0159,178.1037,-0.079099
2022-04-20,AAPL,163.8494,178.1037,-0.080034
2022-04-21,AAPL,163.0557,178.1037,-0.08449
2022-04-22,AAPL,158.5193,178.1037,-0.109961
2022-04-25,AAPL,159.5873,178.1037,-0.103964
2022-04-26,AAPL,153.6302,178.1037,-0.137412
2022-04-27,AAPL,153.4049,178.1037,-0.138677
2022-04-28,AAPL,160.3319,178.1037,-0.099783
2022-04-29,AAPL,154.463,178.1037,-0.132736
2022-05-02,AAPL,154.7668,178.1037,-0.13103
2022-05-03,AAPL,156.2561,178.1037,-0.122668
2022-05-04,AAPL,162.6638,178.1037,-0.086691
2022-05-05,AAPL,153.6008,178.1037,-0.137577
2022-05-06,AAPL,154.3269,178.1037,-0.1335
2022-05-09,AAPL,149.2049,178.1037,-0.162258
2022-05-10,AAPL,151.6089,178.1037,-0.148761
2022-05-11,AAPL,143.7493,178.1037,-0.19289
2022-05-12,AAPL,139.8833,178.1037,-0.214596
2022-05-13,AAPL,144.3479,178.1037,-0.189529
2022-05-16,AAPL,142.8073,178.1037,-0.198179
2022-05-17,AAPL,146.4379,178.1037,-0.177794
2022-05-18,AAPL,138.176,178.1037,-0.224182
