year_month,ticker,trading_days,avg_daily_return,compound_monthly_return
2022-01,AAPL,19,-0.001912,-0.039722
2022-02,AAPL,19,-0.002813,-0.054064
2022-03,AAPL,23,0.002622,0.057475
2022-04,AAPL,20,-0.004878,-0.097131
2022-05,AAPL,21,-0.0022,-0.054495
2022-06,AAPL,21,-0.003753,-0.081428
2022-07,AAPL,20,0.008792,0.188635
2022-08,AAPL,23,-0.001252,-0.031207
2022-09,AAPL,21,-0.005864,-0.120976
2022-10,AAPL,21,0.005297,0.109551
2022-11,AAPL,21,-0.001179,-0.033028
2022-12,AAPL,21,-0.006033,-0.122272
2023-01,AAPL,20,0.005381,0.110523
2023-02,AAPL,19,0.001336,0.023184
2023-03,AAPL,23,0.004977,0.118651
2023-04,AAPL,19,0.00158,0.028987
2023-05,AAPL,22,0.002124,0.04606
2023-06,AAPL,21,0.004345,0.094329
2023-07,AAPL,20,0.000664,0.012785
2023-08,AAPL,23,-0.001754,-0.042386
2023-09,AAPL,20,-0.004534,-0.088677
2023-10,AAPL,22,-6.6e-05,-0.002573
2023-11,AAPL,21,0.005188,0.11378
2023-12,AAPL,20,0.000714,0.013581
2024-01,AAPL,21,-0.001943,-0.04223
2024-02,AAPL,20,-0.000907,-0.018543
2024-03,AAPL,20,-0.002509,-0.051287
2024-04,AAPL,22,-0.000201,-0.006706
2024-05,AAPL,22,0.005692,0.130222
2024-06,AAPL,19,0.005025,0.095551
2024-07,AAPL,22,0.002526,0.054409
2024-08,AAPL,22,0.001549,0.032352
2024-09,AAPL,20,0.00097,0.017468
2024-10,AAPL,23,-0.001259,-0.030429
2024-11,AAPL,20,0.002567,0.051705
2024-12,AAPL,21,0.00261,0.055155
2025-01,AAPL,20,-0.002785,-0.057583
2025-02,AAPL,19,0.001473,0.025871
2025-03,AAPL,21,-0.003861,-0.081499
2025-04,AAPL,21,-0.000962,-0.043354
2025-05,AAPL,21,-0.002409,-0.053584
2025-06,AAPL,20,0.001127,0.021508
2025-07,AAPL,22,0.000568,0.011697
2025-08,AAPL,21,0.005552,0.119637
2025-09,AAPL,21,0.004568,0.096883
2025-10,AAPL,23,0.00271,0.061816
2025-11,AAPL,19,0.001721,0.032363
2025-12,AAPL,22,-0.001127,-0.025068
2026-01,AAPL,20,-0.002251,-0.045536
2026-02,AAPL,19,0.001224,0.019065
2026-03,AAPL,22,-0.001754,-0.03933
2026-04,AAPL,7,0.003796,0.02636
2022-01,AMZN,19,-0.006575,-0.122244
2022-02,AMZN,19,0.002179,0.026673
2022-03,AMZN,23,0.002919,0.061437
2022-04,AMZN,20,-0.012672,-0.237525
2022-05,AMZN,21,-0.00093,-0.032765
2022-06,AMZN,21,-0.005356,-0.11646
2022-07,AMZN,20,0.012585,0.270594
2022-08,AMZN,23,-0.002493,-0.060615
2022-09,AMZN,21,-0.005167,-0.10862
2022-10,AMZN,21,-0.004146,-0.093451
2022-11,AMZN,21,-0.002143,-0.057594
2022-12,AMZN,21,-0.006392,-0.129894
2023-01,AMZN,20,0.010565,0.227736
2023-02,AMZN,19,-0.004299,-0.086299
2023-03,AMZN,23,0.004164,0.096147
2023-04,AMZN,19,0.001379,0.020912
2023-05,AMZN,22,0.006268,0.143483
2023-06,AMZN,21,0.003875,0.081108
2023-07,AMZN,20,0.001388,0.025468
2023-08,AMZN,23,0.001629,0.03239
2023-09,AMZN,20,-0.003906,-0.078908
2023-10,AMZN,22,0.002422,0.046962
2023-11,AMZN,21,0.004531,0.097678
2023-12,AMZN,20,0.002033,0.040046
2024-01,AMZN,21,0.001104,0.021456
2024-02,AMZN,20,0.006763,0.138917
2024-03,AMZN,20,0.001086,0.020479
2024-04,AMZN,22,-0.001241,-0.029826
