trade_date,ticker,rolling_vol_30d
2022-01-04,AAPL,0.0
2022-01-05,AAPL,0.110391
2022-01-06,AAPL,0.092804
2022-01-07,AAPL,0.157178
2022-01-10,AAPL,0.165876
2022-01-11,AAPL,0.223385
2022-01-12,AAPL,0.212667
2022-01-13,AAPL,0.211993
2022-01-14,AAPL,0.208542
2022-01-18,AAPL,0.207879
2022-01-19,AAPL,0.208517
2022-01-20,AAPL,0.199878
2022-01-21,AAPL,0.192959
2022-01-24,AAPL,0.186584
2022-01-25,AAPL,0.180649
2022-01-26,AAPL,0.177606
2022-01-27,AAPL,0.173368
2022-01-28,AAPL,0.328506
2022-01-31,AAPL,0.336514
2022-02-01,AAPL,0.32801
2022-02-02,AAPL,0.321518
2022-02-03,AAPL,0.318163
2022-02-04,AAPL,0.311173
2022-02-07,AAPL,0.304696
2022-02-08,AAPL,0.305386
2022-02-09,AAPL,0.300907
2022-02-10,AAPL,0.302952
2022-02-11,AAPL,0.302378
2022-02-14,AAPL,0.297336
2022-02-15,AAPL,0.301245
2022-02-16,AAPL,0.299438
2022-02-17,AAPL,0.295995
2022-02-18,AAPL,0.293446
2022-02-22,AAPL,0.297394
2022-02-23,AAPL,0.305432
2022-02-24,AAPL,0.305377
2022-02-25,AAPL,0.308168
2022-02-28,AAPL,0.304098
2022-03-01,AAPL,0.304932
2022-03-02,AAPL,0.307014
2022-03-03,AAPL,0.301013
2022-03-04,AAPL,0.304249
2022-03-07,AAPL,0.309647
2022-03-08,AAPL,0.311074
2022-03-09,AAPL,0.325369
2022-03-10,AAPL,0.335077
2022-03-11,AAPL,0.341889
2022-03-14,AAPL,0.279668
2022-03-15,AAPL,0.283033
2022-03-16,AAPL,0.298029
2022-03-17,AAPL,0.297871
2022-03-18,AAPL,0.302366
2022-03-21,AAPL,0.303725
2022-03-22,AAPL,0.309939
2022-03-23,AAPL,0.306064
2022-03-24,AAPL,0.312298
2022-03-25,AAPL,0.304736
2022-03-28,AAPL,0.298621
2022-03-29,AAPL,0.302806
2022-03-30,AAPL,0.297273
2022-03-31,AAPL,0.302064
2022-04-01,AAPL,0.295248
2022-04-04,AAPL,0.300273
2022-04-05,AAPL,0.300926
2022-04-06,AAPL,0.295797
2022-04-07,AAPL,0.292846
2022-04-08,AAPL,0.29363
2022-04-11,AAPL,0.303336
